"Tank pressure, bar","Condensed,mbar","liquid, cc","Freq. fit, Hz","Freq. max, Hz",Q
0.57719,0,0,874847.4123,874837.5,1305.301
0.5772,-0.0024,-1.48E-04,874850.3299,874887.5,1310.04042
0.57717,0.02015,0.00124,874849.5342,874850,1310.67168
0.57716,0.03806,0.00234,874849.7226,874850,1311.87699
0.57717,0.02479,0.00153,874848.3537,874887.5,1305.939
0.57716,0.03758,0.00231,874849.1648,874887.5,1310.03303
0.5772,-0.00367,-2.26E-04,874849.8117,874825,1304.88405
0.5772,-0.00367,-2.26E-04,874849.2854,874887.5,1308.00069
0.57717,0.02782,0.00171,874848.8959,874875,1305.76347
0.5772,-0.00288,-1.77E-04,874848.709,874875,1305.97468
0.57717,0.02655,0.00163,874849.7485,874887.5,1310.25202
0.5772,-0.00495,-3.05E-04,874848.2808,874862.5,1307.67608
0.57717,0.02959,0.00182,874846.9841,874837.5,1309.24608
0.57716,0.0379,0.00233,874848.2143,874900,1312.81755
0.5772,-0.00351,-2.16E-04,874847.2625,874900,1305.77343
0.57716,0.03726,0.00229,874848.9566,874862.5,1316.65853
0.57719,4.75E-04,2.92E-05,874848.9731,874912.5,1306.38916
0.57716,0.0307,0.00189,874849.3552,874875,1308.59457
0.5772,-0.00208,-1.28E-04,874849.2693,874900,1309.87698
0.5772,-0.00271,-1.67E-04,874850.8837,874875,1309.37475
0.57716,0.0347,0.00214,874849.5653,874787.5,1302.737
0.5772,-0.00304,-1.87E-04,874848.6162,874837.5,1305.70937
0.57716,0.03806,0.00234,874848.8627,874900,1305.00481
0.57716,0.03102,0.00191,874851.6626,874925,1301.82966
0.5772,-0.00448,-2.75E-04,874847.9877,874862.5,1306.65053
0.5772,-0.00367,-2.26E-04,874848.9565,874900,1312.70069
0.5772,-0.0032,-1.97E-04,874847.3979,874850,1303.49619
0.57716,0.0379,0.00233,874848.254,874912.5,1313.703
0.57719,0,0,874847.4086,874875,1308.34869
0.57716,0.03742,0.0023,874849.5909,874875,1307.52406
0.5772,-0.00336,-2.07E-04,874846.7236,874862.5,1306.74949
0.5772,-0.0032,-1.97E-04,874849.7306,874875,1311.80449
0.57717,0.02639,0.00162,874848.8378,874900,1309.27086
0.57716,0.03742,0.0023,874849.3311,874837.5,1305.55355
0.57717,0.0291,0.00179,874850.9505,874887.5,1305.90806
