SG_voltage,CH_voltage,bf_fridge_temperature_cell,lockinST_R,lockinST_T,lockinST_X,lockinST_Y
0,0.5,0.222788,0.005497804,85.04449,0.000474912,0.005477254
0,0.499,0.222788,0.005456472,84.9145,0.000483673,0.005434995
0,0.498,0.222788,0.00546624,85.0163,0.000474862,0.005445574
0,0.497,0.222788,0.005417791,85.19766,0.000453569,0.005398772
0,0.496,0.222788,0.005438007,85.11768,0.000462826,0.005418275
0,0.495,0.222788,0.005395492,85.16947,0.000454347,0.005376326
0,0.494,0.222788,0.005427227,85.13877,0.000459918,0.005407704
0,0.493,0.222788,0.005388813,85.18287,0.000452529,0.005369779
0,0.492,0.222788,0.005417051,85.17021,0.000456094,0.005397819
0,0.491,0.222788,0.005401243,85.09026,0.000462272,0.005381424
0,0.49,0.222788,0.005443474,85.1408,0.000461103,0.005423909
0,0.489,0.222788,0.005427442,85.07957,0.000465523,0.005407438
0,0.488,0.222788,0.005402279,85.15991,0.000455817,0.005383015
0,0.487,0.222788,0.005473086,85.1242,0.00046519,0.005453282
0,0.486,0.222788,0.005504495,85.12334,0.000467943,0.005484569
0,0.485,0.222809,0.005402507,85.16132,0.000455704,0.005383253
0,0.484,0.222809,0.005424654,85.16334,0.000457382,0.005405337
0,0.483,0.222809,0.005410908,85.2343,0.000449544,0.005392201
0,0.482,0.222809,0.005430384,85.08778,0.000465,0.005410438
0,0.481,0.222809,0.005393431,85.14211,0.000456741,0.005374056
0,0.48,0.222809,0.005433023,85.12056,0.000462132,0.00541333
0,0.479,0.222809,0.005426532,85.09801,0.000463702,0.005406683
0,0.478,0.222809,0.005422788,85.09454,0.000463713,0.005402928
0,0.477,0.222809,0.005453259,85.07078,0.000468571,0.005433087
0,0.476,0.222809,0.005444293,85.10384,0.00046467,0.005424427
0,0.475,0.222809,0.005381434,85.19912,0.000450392,0.005362556
0,0.474,0.222809,0.005444932,85.16997,0.000458464,0.005425596
0,0.473,0.222809,0.005431132,85.19183,0.000455239,0.005412019
0,0.472,0.222809,0.005455842,85.18218,0.000458224,0.005436565
0,0.471,0.222809,0.00541046,85.24075,0.000448901,0.005391805
0,0.47,0.22287,0.005434823,85.18558,0.000456136,0.005415647
0,0.469,0.22287,0.005487074,85.32521,0.000447196,0.00546882
0,0.468,0.22287,0.005480475,85.17969,0.00046053,0.005461091
0,0.467,0.22287,0.00543278,85.29503,0.000445623,0.005414473
0,0.466,0.22287,0.005456376,85.2141,0.000455239,0.005437352
0,0.465,0.22287,0.005454105,85.25764,0.000450919,0.005435433
0,0.464,0.22287,0.005386112,85.27913,0.000443285,0.005367834
0,0.463,0.22287,0.005411031,85.27944,0.000445306,0.005392676
0,0.462,0.222446,0.005375249,85.37531,0.000433397,0.005357748
0,0.461,0.222446,0.005373737,85.20363,0.000449323,0.005354919
0,0.46,0.222446,0.005395679,85.29033,0.000443021,0.00537746
0,0.459,0.222446,0.005378437,85.34328,0.000436651,0.005360682
0,0.458,0.222446,0.005419484,85.23935,0.000449782,0.00540079
0,0.457,0.222446,0.005361928,85.31774,0.000437693,0.005344034
0,0.456,0.222446,0.005390982,85.1413,0.000456609,0.00537161
0,0.455,0.222446,0.005370722,85.32833,0.000437422,0.005352879
0,0.454,0.222446,0.005378636,85.25467,0.000444958,0.005360199
0,0.453,0.222446,0.005383418,85.30046,0.000441066,0.005365316
0,0.452,0.222446,0.005399574,85.33208,0.000439419,0.005381664
0,0.451,0.222446,0.005417459,85.1865,0.000454593,0.005398355
0,0.45,0.222446,0.005442817,85.19794,0.000455638,0.005423711
0,0.449,0.222446,0.005431881,85.30847,0.000444283,0.005413681
0,0.448,0.222446,0.005438232,85.25585,0.000449777,0.0054196
0,0.447,0.22251,0.005411218,85.20143,0.000452664,0.005392251
0,0.446,0.22251,0.005442791,85.30147,0.000445834,0.0054245
0,0.445,0.22251,0.005400149,85.28654,0.000443744,0.005381886
0,0.444,0.22251,0.005446163,85.32406,0.000443971,0.005428036
0,0.443,0.22251,0.00539458,85.24611,0.00044708,0.005376022
0,0.442,0.22251,0.005415341,85.21317,0.000451904,0.005396452
0,0.441,0.22251,0.005436808,85.2507,0.000450146,0.005418141
0,0.44,0.22251,0.005482307,85.03169,0.00047479,0.005461708
0,0.439,0.22251,0.005449768,85.18237,0.000457696,0.005430517
0,0.438,0.22251,0.005484718,85.27474,0.000451819,0.005466078
0,0.437,0.22251,0.00542404,85.2598,0.00044823,0.005405487
0,0.436,0.22251,0.005451754,85.25637,0.000450845,0.005433079
0,0.435,0.22251,0.005420443,85.36204,0.000438292,0.005402693
0,0.434,0.22251,0.005400184,85.28264,0.000444114,0.005381891
0,0.433,0.22251,0.005422133,85.18621,0.000455012,0.005403007
0,0.432,0.22251,0.005380848,85.24236,0.000446293,0.005362308
0,0.431,0.222477,0.005402346,85.33274,0.000439583,0.005384432
0,0.43,0.222477,0.005415766,85.3103,0.000442789,0.005397634
