"Field, V/cm","Frequency, GHz","Frequency, GHz","Frequency, GHz"
0,126.51033,149.39534,160.13204
3,128.89995,155.39553,168.53309
6,131.19686,160.82444,176.55013
9,133.41657,165.86073,184.09025
12,135.57007,170.60558,191.17695
15,137.66559,175.12114,197.87334
18,139.70958,179.44882,204.24324
21,141.70721,183.61799,210.33939
24,143.66274,187.65055,216.20294
27,145.57973,191.56339,221.86579
30,147.46121,195.36993,227.35299
33,149.30979,199.08107,232.68455
36,151.12773,202.70584,237.87675
39,152.91703,206.25181,242.94307
42,154.67945,209.72545,247.8948
45,156.41656,213.13231,252.74157
48,158.12976,216.47722,257.49164
51,159.82034,219.76442,262.15217
54,161.48944,222.99766,266.72944
57,163.13811,226.18025,271.22899
60,164.76731,229.31519,275.65573
63,166.37792,232.40515,280.01404
66,167.97074,235.45254,284.30787
69,169.54653,238.45957,288.54076
72,171.10597,241.42824,292.71594
75,172.64972,244.36039,296.83635
78,174.17836,247.25769,300.90466
81,175.69247,250.12169,304.92332
84,177.19255,252.95383,308.8946
87,178.67911,255.75544,312.82058
90,180.15259,258.52773,316.70319
93,181.61344,261.27187,320.54422
96,183.06206,263.98892,324.34532
99,184.49883,266.67987,328.10805
102,185.92413,269.34567,331.83385
105,187.33829,271.98719,335.52408
108,188.74163,274.60526,339.18
111,190.13448,277.20065,342.80281
114,191.51712,279.77411,346.39362
117,192.88983,282.32631,349.95349
120,194.25289,284.85792,353.48342
123,195.60653,287.36956,356.98435
126,196.95101,289.86181,360.45716
129,198.28657,292.33524,363.90271
132,199.6134,294.79036,367.32179
135,200.93175,297.2277,370.71516
138,202.24179,299.64773,374.08355
141,203.54373,302.0509,377.42764
144,204.83776,304.43766,380.74809
147,206.12406,306.80842,384.04552
150,207.40278,309.16359,387.32053
153,208.67412,311.50355,390.5737
156,209.93821,313.82866,393.80556
159,211.19522,316.13927,397.01664
162,212.44529,318.43573,400.20744
165,213.68857,320.71835,403.37844
168,214.92518,322.98745,406.53009
171,216.15528,325.24332,409.66285
174,217.37897,327.48626,412.77713
177,218.59639,329.71654,415.87335
180,219.80766,331.93442,418.95189
183,221.01289,334.14017,422.01313
186,222.21219,336.33403,425.05745
189,223.40568,338.51624,428.08518
192,224.59345,340.68704,431.09667
195,225.7756,342.84663,434.09224
198,226.95225,344.99525,437.07222
201,228.12347,347.1331,440.0369
204,229.28937,349.26037,442.98657
207,230.45004,351.37728,445.92153
210,231.60555,353.48399,448.84205
213,232.75601,355.5807,451.7484
216,233.90148,357.66759,454.64083
219,235.04205,359.74483,457.51959
222,236.17779,361.81257,460.38494
225,237.30879,363.871,463.23709
228,238.43511,365.92025,466.07628
231,239.55684,367.96049,468.90273
234,240.67402,369.99186,471.71666
237,241.78675,372.01451,474.51827
240,242.89507,374.02858,477.30776
243,243.99906,376.0342,480.08534
246,245.09878,378.0315,482.8512
249,246.19429,380.02062,485.60551
252,247.28565,382.00168,488.34847
255,248.37292,383.9748,491.08024
258,249.45615,385.9401,493.801
261,250.5354,387.8977,496.51092
264,251.61073,389.8477,499.21016
267,252.68219,391.79023,501.89887
270,253.74982,393.72538,504.57721
273,254.81369,395.65326,507.24534
276,255.87383,397.57398,509.90339
279,256.93031,399.48763,512.55151
282,257.98316,401.39432,515.18985
285,259.03242,403.29412,517.81853
288,260.07816,405.18715,520.43769
291,261.1204,407.07348,523.04746
294,262.1592,408.95321,525.64797
297,263.1946,410.82643,528.23934
300,264.22663,412.69321,530.82169
303,265.25534,414.55365,533.39514
306,266.28077,416.40782,535.9598
309,267.30295,418.25579,538.51579
312,268.32193,420.09766,541.06322
315,269.33774,421.93349,543.6022
318,270.35042,423.76336,546.13283
321,271.36,425.58734,548.65521
324,272.36652,427.4055,551.16945
327,273.37002,429.21791,553.67565
330,274.37052,431.02464,556.1739
333,275.36806,432.82576,558.6643
336,276.36268,434.62133,561.14694
339,277.3544,436.41141,563.62191
342,278.34326,438.19608,566.0893
345,279.32929,439.97538,568.54921
348,280.31251,441.74938,571.00171
351,281.29296,443.51814,573.44688
354,282.27066,445.28172,575.88482
357,283.24565,447.04018,578.3156
360,284.21795,448.79356,580.73931
363,285.18759,450.54193,583.15601
366,286.1546,452.28534,585.56579
369,287.119,454.02384,587.96872
372,288.08083,455.75748,590.36487
375,289.04009,457.48632,592.75432
378,289.99683,459.2104,595.13714
381,290.95106,460.92977,597.51339
384,291.90281,462.64449,599.88315
387,292.85211,464.3546,602.24648
390,293.79897,466.06014,604.60345
393,294.74343,467.76116,606.95412
396,295.68549,469.45771,609.29856
399,296.62519,471.14983,611.63683
402,297.56255,472.83756,613.96899
405,298.49759,474.52095,616.29509
408,299.43033,476.20004,618.61521
411,300.36079,477.87487,620.9294
414,301.28899,479.54548,623.23771
417,302.21496,481.2119,625.5402
420,303.13871,482.87419,627.83694
423,304.06026,484.53238,630.12796
426,304.97963,486.1865,632.41333
429,305.89685,487.8366,634.69309
432,306.81192,489.48271,636.96731
435,307.72487,491.12486,639.23603
438,308.63572,492.7631,641.4993
441,309.54449,494.39745,643.75717
444,310.45119,496.02796,646.00969
447,311.35583,497.65465,648.25691
450,312.25845,499.27756,650.49888
453,313.15905,500.89673,652.73564
456,314.05765,502.51218,654.96723
459,314.95427,504.12395,657.19371
462,315.84892,505.73206,659.41511
465,316.74162,507.33656,661.63149
468,317.63239,508.93747,663.84287
471,318.52124,510.53482,666.04932
474,319.40818,512.12864,668.25086
477,320.29324,513.71896,670.44755
