SG_voltage,CH_voltage,bf_fridge_temperature_cell,lockinIC_R,lockinIC_T
0,0.5,0.222788,3.299959e-05,-154.555
0,0.499,0.222788,3.495294e-05,-152.1716
0,0.498,0.222788,3.452912e-05,-152.0344
0,0.497,0.222788,3.546317e-05,-161.7541
0,0.496,0.222788,3.882217e-05,-163.2203
0,0.495,0.222788,4.008996e-05,-146.1134
0,0.494,0.222788,3.531177e-05,-151.9789
0,0.493,0.222788,3.707206e-05,-147.7534
0,0.492,0.222788,4.083424e-05,-147.7469
0,0.491,0.222788,4.425106e-05,-154.1277
0,0.49,0.222788,4.483978e-05,-160.9361
0,0.489,0.222788,4.134778e-05,-151.6555
0,0.488,0.222788,4.056207e-05,-161.5622
0,0.487,0.222788,4.715342e-05,-156.8622
0,0.486,0.222788,4.361912e-05,-156.763
0,0.485,0.222809,4.132398e-05,-151.8378
0,0.484,0.222809,3.925586e-05,-156.9946
0,0.483,0.222809,4.37705e-05,-157.9577
0,0.482,0.222809,4.404981e-05,-152.766
0,0.481,0.222809,4.046367e-05,-155.1888
0,0.48,0.222809,4.433636e-05,-149.1925
0,0.479,0.222809,4.308006e-05,-157.2959
0,0.478,0.222809,3.843823e-05,-149.5535
0,0.477,0.222809,4.292434e-05,-156.919
0,0.476,0.222809,4.535051e-05,-148.1034
0,0.475,0.222809,4.043485e-05,-148.7309
0,0.474,0.222809,4.172476e-05,-148.8666
0,0.473,0.222809,3.969476e-05,-152.8617
0,0.472,0.222809,4.282994e-05,-153.0107
0,0.471,0.222809,4.538053e-05,-158.6552
0,0.47,0.22287,5.00571e-05,-157.1624
0,0.469,0.22287,4.73349e-05,-154.0044
0,0.468,0.22287,4.651571e-05,-147.2373
0,0.467,0.22287,5.224617e-05,-153.0767
0,0.466,0.22287,4.960071e-05,-149.5141
0,0.465,0.22287,4.793316e-05,-155.9209
0,0.464,0.22287,4.918058e-05,-157.8704
0,0.463,0.22287,4.755958e-05,-150.8537
0,0.462,0.222446,4.71013e-05,-159.5669
0,0.461,0.222446,4.772611e-05,-155.3724
0,0.46,0.222446,4.923083e-05,-151.7564
0,0.459,0.222446,5.429597e-05,-145.7557
0,0.458,0.222446,5.117439e-05,-153.0203
0,0.457,0.222446,5.407688e-05,-148.6551
0,0.456,0.222446,5.072005e-05,-151.8365
0,0.455,0.222446,4.793815e-05,-155.1594
0,0.454,0.222446,5.672137e-05,-155.0212
0,0.453,0.222446,5.217057e-05,-152.2191
0,0.452,0.222446,5.230401e-05,-152.3608
0,0.451,0.222446,5.456295e-05,-151.8816
0,0.45,0.222446,5.433567e-05,-155.3251
0,0.449,0.222446,5.368339e-05,-154.8548
0,0.448,0.222446,5.86619e-05,-154.1414
0,0.447,0.22251,6.133371e-05,-153.1859
0,0.446,0.22251,5.546911e-05,-151.1192
0,0.445,0.22251,5.801525e-05,-147.5454
0,0.444,0.22251,5.37712e-05,-153.2495
0,0.443,0.22251,5.97589e-05,-150.4355
0,0.442,0.22251,5.797185e-05,-151.2503
0,0.441,0.22251,5.222244e-05,-154.2717
0,0.44,0.22251,6.56306e-05,-155.5683
0,0.439,0.22251,5.515471e-05,-156.8853
0,0.438,0.22251,6.052664e-05,-155.413
0,0.437,0.22251,6.516777e-05,-154.3068
0,0.436,0.22251,6.339074e-05,-150.2213
0,0.435,0.22251,6.508035e-05,-151.5667
0,0.434,0.22251,6.891007e-05,-152.0329
0,0.433,0.22251,7.046653e-05,-150.7453
0,0.432,0.22251,7.521672e-05,-150.1956
0,0.431,0.222477,7.65927e-05,-148.1881
0,0.43,0.222477,8.166602e-05,-151.8993
0,0.429,0.222477,7.999545e-05,-151.7726
0,0.428,0.222477,7.616934e-05,-153.2646
0,0.427,0.222477,7.289437e-05,-151.9193
0,0.426,0.222477,7.853629e-05,-151.4488
0,0.425,0.222477,8.559224e-05,-151.3591
0,0.424,0.222477,8.680492e-05,-150.8948
0,0.423,0.222477,8.334947e-05,-152.7317
0,0.422,0.222477,8.757149e-05,-148.9006
0,0.421,0.222477,8.711301e-05,-152.4019
0,0.42,0.222477,9.171654e-05,-152.4948
0,0.419,0.222477,9.048462e-05,-150.2757
0,0.418,0.222477,9.324639e-05,-149.5479
0,0.417,0.222477,9.328132e-05,-149.0808
0,0.416,0.221603,9.848397e-05,-150.6649
0,0.415,0.221603,9.837315e-05,-153.2191
0,0.414,0.221603,0.000101015,-151.9638
0,0.413,0.221603,9.892405e-05,-150.8254
0,0.412,0.221603,9.954259e-05,-150.4528
0,0.411,0.221603,0.000104446,-149.9019
0,0.41,0.221603,0.000106865,-149.0425
0,0.409,0.221603,0.000105828,-151.3455
0,0.408,0.221603,0.000111819,-152.2318
0,0.407,0.221603,0.000112005,-153.3235
0,0.406,0.221603,0.000118889,-151.9392
0,0.405,0.221603,0.000116075,-149.2101
0,0.404,0.221603,0.000116698,-148.5035
0,0.403,0.221603,0.000111052,-153.2973
0,0.402,0.221603,0.000115246,-152.5948
0,0.401,0.221603,0.00011744,-149.4794
0,0.4,0.221542,0.000118351,-149.8064
0,0.399,0.221542,0.000124733,-151.9164
0,0.398,0.221542,0.000119383,-152.3934
0,0.397,0.221542,0.000113338,-149.1965
0,0.396,0.221542,0.000119793,-152.3778
0,0.395,0.221542,0.000115951,-151.601
0,0.394,0.221542,0.000114284,-151.8857
0,0.393,0.221542,0.000114177,-151.9465
0,0.392,0.221542,0.000111886,-151.4526
0,0.391,0.221542,0.000106867,-152.4442
0,0.39,0.221542,0.000115291,-150.4088
0,0.389,0.221542,0.000119375,-153.1531
0,0.388,0.221542,0.000118314,-151.2206
0,0.387,0.221542,0.000114428,-154.8164
0,0.386,0.221542,0.000114002,-152.6519
0,0.385,0.221941,0.000117795,-152.3141
0,0.384,0.221941,0.000112473,-154.3825
0,0.383,0.221941,0.000114626,-152.5288
0,0.382,0.221941,0.000121626,-152.1773
0,0.381,0.221941,0.000112888,-152.0754
0,0.38,0.221941,0.00011581,-151.9006
0,0.379,0.221941,0.000123312,-152.0924
0,0.378,0.221941,0.000120983,-149.5381
0,0.377,0.221941,0.000120588,-152.7124
0,0.376,0.221941,0.000116415,-152.8907
0,0.375,0.221941,0.000119621,-152.4395
0,0.374,0.221941,0.000127414,-151.2952
0,0.373,0.221941,0.00012681,-152.3817
0,0.372,0.221941,0.000126041,-151.5438
0,0.371,0.221941,0.000127789,-151.5353
0,0.37,0.221941,0.000135399,-149.8386
0,0.369,0.221755,0.000136877,-152.4233
0,0.368,0.221755,0.000139132,-149.3453
0,0.367,0.221755,0.000142348,-154.1164
0,0.366,0.221755,0.000149164,-150.026
0,0.365,0.221755,0.000152951,-151.4342
0,0.364,0.221755,0.0001585,-150.3657
0,0.363,0.221755,0.000157351,-151.3406
0,0.362,0.221755,0.000167727,-152.2388
0,0.361,0.221755,0.000176866,-150.516
0,0.36,0.221755,0.000170627,-149.6357
0,0.359,0.221755,0.000183771,-150.3043
0,0.358,0.221755,0.000184244,-150.4605
0,0.357,0.221755,0.000188265,-150.104
0,0.356,0.221755,0.000194651,-150.8475
0,0.355,0.221755,0.000197275,-149.0111
0,0.354,0.220842,0.000203052,-150.2796
0,0.353,0.220842,0.000215029,-148.1629
0,0.352,0.220842,0.000215698,-150.2728
0,0.351,0.220842,0.000223449,-149.4548
0,0.35,0.220842,0.000230593,-148.4207
0,0.349,0.220842,0.000234279,-150.7892
0,0.348,0.220842,0.000240494,-149.359
0,0.347,0.220842,0.000256212,-149.169
0,0.346,0.220778,0.000258146,-150.0109
