"x, mkm","Potential energy, eV, VCh=0.21, VSG=-0.36","Potential energy, eV, VCh=0.24, VSG=-0.27"
-96,-0.18981,-0.19111
-95.9,-0.18981,-0.19111
-95.8,-0.18981,-0.19111
-95.7,-0.18981,-0.19111
-95.6,-0.18981,-0.19111
-95.5,-0.1898,-0.19111
-95.4,-0.1898,-0.1911
-95.3,-0.1898,-0.1911
-95.2,-0.18979,-0.1911
-95.1,-0.18979,-0.19109
-95,-0.18978,-0.19109
-94.9,-0.18978,-0.19109
-94.8,-0.18977,-0.19108
-94.7,-0.18977,-0.19107
-94.6,-0.18976,-0.19107
-94.5,-0.18975,-0.19106
-94.4,-0.18974,-0.19106
-94.3,-0.18974,-0.19105
-94.2,-0.18973,-0.19104
-94.1,-0.18972,-0.19103
-94,-0.18971,-0.19102
-93.9,-0.1897,-0.19101
-93.8,-0.18969,-0.19101
-93.7,-0.18967,-0.191
-93.6,-0.18966,-0.19099
-93.5,-0.18965,-0.19097
-93.4,-0.18964,-0.19096
-93.3,-0.18962,-0.19095
-93.2,-0.18961,-0.19094
-93.1,-0.18959,-0.19093
-93,-0.18958,-0.19091
-92.9,-0.18956,-0.1909
-92.8,-0.18955,-0.19089
-92.7,-0.18953,-0.19087
-92.6,-0.18951,-0.19086
-92.5,-0.1895,-0.19084
-92.4,-0.18948,-0.19083
-92.3,-0.18946,-0.19081
-92.2,-0.18944,-0.19079
-92.1,-0.18942,-0.19078
-92,-0.1894,-0.19076
-91.9,-0.18938,-0.19074
-91.8,-0.18936,-0.19072
-91.7,-0.18933,-0.1907
-91.6,-0.18931,-0.19069
-91.5,-0.18929,-0.19067
-91.4,-0.18927,-0.19065
-91.3,-0.18924,-0.19062
-91.2,-0.18922,-0.1906
-91.1,-0.18919,-0.19058
-91,-0.18917,-0.19056
-90.9,-0.18914,-0.19054
-90.8,-0.18911,-0.19052
-90.7,-0.18909,-0.19049
-90.6,-0.18906,-0.19047
-90.5,-0.18903,-0.19044
-90.4,-0.189,-0.19042
-90.3,-0.18897,-0.1904
-90.2,-0.18894,-0.19037
-90.1,-0.18891,-0.19034
-90,-0.18888,-0.19032
-89.9,-0.18885,-0.19029
-89.8,-0.18882,-0.19026
-89.7,-0.18879,-0.19024
-89.6,-0.18875,-0.19021
-89.5,-0.18872,-0.19018
-89.4,-0.18869,-0.19015
-89.3,-0.18865,-0.19012
-89.2,-0.18862,-0.19009
-89.1,-0.18858,-0.19006
-89,-0.18855,-0.19003
-88.9,-0.18851,-0.19
-88.8,-0.18847,-0.18997
-88.7,-0.18844,-0.18994
-88.6,-0.1884,-0.18991
-88.5,-0.18836,-0.18987
-88.4,-0.18832,-0.18984
-88.3,-0.18828,-0.18981
-88.2,-0.18824,-0.18977
-88.1,-0.1882,-0.18974
-88,-0.18816,-0.1897
-87.9,-0.18812,-0.18967
-87.8,-0.18808,-0.18963
-87.7,-0.18803,-0.1896
-87.6,-0.18799,-0.18956
-87.5,-0.18795,-0.18952
-87.4,-0.1879,-0.18949
-87.3,-0.18786,-0.18945
-87.2,-0.18782,-0.18941
-87.1,-0.18777,-0.18938
-87,-0.18772,-0.18934
-86.9,-0.18768,-0.1893
-86.8,-0.18763,-0.18926
-86.7,-0.18758,-0.18922
-86.6,-0.18754,-0.18918
-86.5,-0.18749,-0.18914
-86.4,-0.18744,-0.1891
-86.3,-0.18739,-0.18906
-86.2,-0.18735,-0.18902
-86.1,-0.1873,-0.18898
-86,-0.18725,-0.18894
-85.9,-0.1872,-0.1889
-85.8,-0.18715,-0.18885
-85.7,-0.1871,-0.18881
-85.6,-0.18704,-0.18877
-85.5,-0.18699,-0.18873
-85.4,-0.18694,-0.18869
-85.3,-0.18689,-0.18864
-85.2,-0.18684,-0.1886
-85.1,-0.18679,-0.18856
-85,-0.18674,-0.18852
-84.9,-0.18668,-0.18847
-84.8,-0.18663,-0.18843
-84.7,-0.18658,-0.18839
-84.6,-0.18652,-0.18834
-84.5,-0.18647,-0.1883
-84.4,-0.18642,-0.18826
-84.3,-0.18636,-0.18821
-84.2,-0.18631,-0.18817
-84.1,-0.18626,-0.18813
-84,-0.18621,-0.18809
-83.9,-0.18615,-0.18805
-83.8,-0.1861,-0.188
-83.7,-0.18605,-0.18796
-83.6,-0.186,-0.18792
-83.5,-0.18594,-0.18788
-83.4,-0.18589,-0.18784
-83.3,-0.18584,-0.1878
-83.2,-0.18579,-0.18776
-83.1,-0.18574,-0.18772
-83,-0.18569,-0.18769
-82.9,-0.18564,-0.18765
-82.8,-0.18559,-0.18761
-82.7,-0.18554,-0.18758
-82.6,-0.1855,-0.18754
-82.5,-0.18545,-0.18751
-82.4,-0.1854,-0.18748
-82.3,-0.18536,-0.18745
-82.2,-0.18532,-0.18741
-82.1,-0.18527,-0.18739
-82,-0.18523,-0.18736
-81.9,-0.18519,-0.18733
-81.8,-0.18516,-0.18731
-81.7,-0.18512,-0.18729
-81.6,-0.18509,-0.18727
-81.5,-0.18505,-0.18725
-81.4,-0.18502,-0.18724
-81.3,-0.185,-0.18722
-81.2,-0.18497,-0.18721
-81.1,-0.18494,-0.1872
-81,-0.18492,-0.1872
-80.9,-0.1849,-0.18719
-80.8,-0.18489,-0.1872
-80.7,-0.18488,-0.1872
-80.6,-0.18487,-0.18721
-80.5,-0.18487,-0.18723
-80.4,-0.18487,-0.18724
-80.3,-0.18488,-0.18726
-80.2,-0.18488,-0.18729
