SG_voltage,CH_voltage,lockinIC_R,lockinIC_T,lockinIC_X,lockinIC_Y
0,0.7,8.050032e-06,-70.05628,2.745872e-06,-7.57E-06
0,0.6986,6.620175e-06,-45.87983,4.608714e-06,-4.75E-06
0,0.6972,6.51836e-06,-92.88947,-3.29E-07,-6.51E-06
0,0.6958,6.094492e-06,-81.02849,9.503876e-07,-6.02E-06
0,0.6944,9.26231e-06,-76.38977,2.179543e-06,-9.00E-06
0,0.693,8.849213e-06,-58.12346,4.673318e-06,-7.51E-06
0,0.6916,7.066e-06,-89.77697,2.748984e-08,-7.07E-06
0,0.6902,7.604207e-06,-77.13304,1.693214e-06,-7.41E-06
0,0.6888,6.894241e-06,-79.11542,1.301731e-06,-6.77E-06
0,0.6874,9.745881e-06,-70.88279,3.191789e-06,-9.21E-06
0,0.686,8.823682e-06,-64.10882,3.852965e-06,-7.94E-06
0,0.6846,6.873127e-06,-66.3049,2.762094e-06,-6.29E-06
0,0.6832,7.286209e-06,-52.1943,4.466305e-06,-5.76E-06
0,0.6818,1.043565e-05,-66.66798,4.132281e-06,-9.58E-06
0,0.6804,8.711191e-06,-60.4213,4.29998e-06,-7.58E-06
0,0.679,1.079223e-05,-89.8161,3.463681e-08,-1.08E-05
0,0.6776,9.222909e-06,-84.63798,8.618636e-07,-9.18E-06
0,0.6762,6.779353e-06,-74.89017,1.767167e-06,-6.54E-06
0,0.6748,1.097613e-05,-61.57597,5.224529e-06,-9.65E-06
0,0.6734,1.317713e-05,-72.52521,3.956884e-06,-1.26E-05
0,0.672,9.810802e-06,-66.07885,3.978054e-06,-8.97E-06
0,0.6706,1.122484e-05,-82.79195,1.4084e-06,-1.11E-05
0,0.6692,1.317565e-05,-77.93439,2.753569e-06,-1.29E-05
0,0.6678,1.009321e-05,-72.5298,3.030139e-06,-9.63E-06
0,0.6664,6.690493e-06,-71.02615,2.175145e-06,-6.33E-06
0,0.665,9.720909e-06,-78.49584,1.938714e-06,-9.53E-06
0,0.6636,8.109899e-06,-82.19221,1.101591e-06,-8.03E-06
0,0.6622,9.688158e-06,-59.12125,4.972153e-06,-8.31E-06
0,0.6608,1.290584e-05,-67.87046,4.862462e-06,-1.20E-05
0,0.6594,6.488861e-06,-83.37037,7.491493e-07,-6.45E-06
0,0.658,9.62576e-06,-64.38498,4.160324e-06,-8.68E-06
0,0.6566,8.844919e-06,-55.96324,4.950986e-06,-7.33E-06
0,0.6552,9.778901e-06,-96.50985,-1.11E-06,-9.72E-06
0,0.6538,9.223256e-06,-77.05015,2.067103e-06,-8.99E-06
0,0.6524,9.146883e-06,-86.32944,5.855737e-07,-9.13E-06
0,0.651,1.217753e-05,-85.57572,9.393906e-07,-1.21E-05
0,0.6496,8.179262e-06,-45.80738,5.70151e-06,-5.86E-06
0,0.6482,5.1768e-06,-87.85723,1.935409e-07,-5.17E-06
0,0.6468,5.588438e-06,-88.25229,1.70446e-07,-5.59E-06
0,0.6454,1.046619e-05,-96.76994,-1.23E-06,-1.04E-05
0,0.644,9.188069e-06,-71.92548,2.850615e-06,-8.73E-06
0,0.6426,8.13823e-06,-97.27579,-1.03E-06,-8.07E-06
0,0.6412,1.072627e-05,-88.45937,2.883877e-07,-1.07E-05
0,0.6398,9.226296e-06,-78.82696,1.787787e-06,-9.05E-06
0,0.6384,1.300514e-05,-60.63124,6.37808e-06,-1.13E-05
0,0.637,5.502099e-06,-91.77797,-1.71E-07,-5.50E-06
0,0.6356,9.815985e-06,-85.95274,6.927894e-07,-9.79E-06
0,0.6342,6.079084e-06,-82.24707,8.20077e-07,-6.02E-06
0,0.6328,8.280931e-06,-79.76531,1.471082e-06,-8.15E-06
0,0.6314,9.699289e-06,-92.09385,-3.54E-07,-9.69E-06
0,0.63,5.195936e-06,-23.07317,4.780811e-06,-2.04E-06
0,0.6286,6.636804e-06,-70.50598,2.214733e-06,-6.26E-06
0,0.6272,8.08705e-06,-51.69369,5.012841e-06,-6.35E-06
0,0.6258,9.50104e-06,-40.70426,7.202558e-06,-6.20E-06
0,0.6244,8.366653e-06,-95.2636,-7.68E-07,-8.33E-06
0,0.623,8.216653e-06,-99.57605,-1.37E-06,-8.10E-06
0,0.6216,7.338375e-06,-72.53308,2.202635e-06,-7.00E-06
0,0.6202,3.498315e-06,-112.6776,-1.35E-06,-3.23E-06
0,0.6188,7.795155e-06,-95.23684,-7.11E-07,-7.76E-06
0,0.6174,1.070279e-05,-75.02134,2.766218e-06,-1.03E-05
0,0.616,1.089144e-05,-53.84309,6.426192e-06,-8.79E-06
0,0.6146,7.786567e-06,-47.58996,5.251469e-06,-5.75E-06
0,0.6132,6.187283e-06,-103.4897,-1.44E-06,-6.02E-06
0,0.6118,9.018318e-06,-85.98116,6.320346e-07,-9.00E-06
0,0.6104,6.387443e-06,-81.67597,9.2482e-07,-6.32E-06
0,0.609,1.155549e-05,-82.59819,1.488676e-06,-1.15E-05
0,0.6076,1.253279e-05,-74.84492,3.276463e-06,-1.21E-05
0,0.6062,1.085331e-05,-90.45715,-8.66E-08,-1.09E-05
0,0.6048,3.530686e-06,-65.16499,1.483177e-06,-3.20E-06
0,0.6034,7.494502e-06,-64.09205,3.274538e-06,-6.74E-06
0,0.602,9.291085e-06,-96.2632,-1.01E-06,-9.24E-06
0,0.6006,8.640512e-06,-69.17384,3.072199e-06,-8.08E-06
0,0.5992,8.732543e-06,-95.22908,-7.96E-07,-8.70E-06
0,0.5978,1.260057e-05,-73.27886,3.625058e-06,-1.21E-05
0,0.5964,9.015357e-06,-122.3768,-4.83E-06,-7.61E-06
0,0.595,1.089503e-05,-104.9476,-2.81E-06,-1.05E-05
0,0.5936,8.966311e-06,-59.53269,4.546307e-06,-7.73E-06
0,0.5922,8.429626e-06,-85.05351,7.268814e-07,-8.40E-06
0,0.5908,9.489309e-06,-89.25794,1.226104e-07,-9.49E-06
0,0.5894,9.167189e-06,-93.4955,-5.59E-07,-9.15E-06
0,0.588,8.634614e-06,-101.8097,-1.77E-06,-8.45E-06
0,0.5866,1.225059e-05,-100.5673,-2.25E-06,-1.20E-05
0,0.5852,6.817429e-06,-115.5387,-2.94E-06,-6.15E-06
0,0.5838,1.106414e-05,-75.23308,2.820099e-06,-1.07E-05
0,0.5824,8.17338e-06,-125.6912,-4.77E-06,-6.64E-06
0,0.581,6.162805e-06,-86.06842,4.225457e-07,-6.15E-06
0,0.5796,7.230799e-06,-102.5609,-1.57E-06,-7.06E-06
0,0.5782,7.424304e-06,-55.84745,4.168295e-06,-6.14E-06
0,0.5768,3.994286e-06,-96.58449,-4.58E-07,-3.97E-06
0,0.5754,7.408244e-06,-122.5033,-3.98E-06,-6.25E-06
0,0.574,1.180164e-05,-98.69011,-1.78E-06,-1.17E-05
0,0.5726,5.130367e-06,-67.85647,1.933492e-06,-4.75E-06
0,0.5712,1.05455e-05,-104.5411,-2.65E-06,-1.02E-05
0,0.5698,1.176318e-05,-66.01377,4.781912e-06,-1.07E-05
0,0.5684,9.062589e-06,-85.20071,7.582213e-07,-9.03E-06
0,0.567,8.28864e-06,-115.931,-3.62E-06,-7.45E-06
0,0.5656,8.955767e-06,-99.18876,-1.43E-06,-8.84E-06
0,0.5642,4.958848e-06,-106.4839,-1.41E-06,-4.75E-06
0,0.5628,1.460856e-05,-90.48415,-1.23E-07,-1.46E-05
0,0.5614,9.174839e-06,-103.4616,-2.14E-06,-8.92E-06
0,0.56,1.185104e-05,-115.5437,-5.11E-06,-1.07E-05
0,0.5586,8.779213e-06,-96.77256,-1.04E-06,-8.72E-06
0,0.5572,1.188908e-05,-84.43335,1.153003e-06,-1.18E-05
0,0.5558,1.049587e-05,-119.1646,-5.11E-06,-9.17E-06
0,0.5544,9.596639e-06,-116.2992,-4.25E-06,-8.60E-06
0,0.553,8.560052e-06,-103.6671,-2.02E-06,-8.32E-06
0,0.5516,9.622117e-06,-105.2345,-2.53E-06,-9.28E-06
0,0.5502,8.922527e-06,-111.4604,-3.26E-06,-8.30E-06
0,0.5488,6.907283e-06,-108.5112,-2.19E-06,-6.55E-06
0,0.5474,9.224175e-06,-111.1793,-3.33E-06,-8.60E-06
0,0.546,9.806494e-06,-91.17425,-2.02E-07,-9.81E-06
0,0.5446,1.168167e-05,-126.5319,-6.95E-06,-9.39E-06
0,0.5432,6.476836e-06,-118.8757,-3.13E-06,-5.67E-06
0,0.5418,1.320502e-05,-105.6186,-3.56E-06,-1.27E-05
0,0.5404,1.304258e-05,-99.09718,-2.06E-06,-1.29E-05
0,0.539,8.71496e-06,-91.372,-2.09E-07,-8.71E-06
0,0.5376,1.423514e-05,-90.45918,-1.14E-07,-1.42E-05
0,0.5362,7.012135e-06,-115.508,-3.02E-06,-6.33E-06
0,0.5348,8.826521e-06,-113.7721,-3.56E-06,-8.08E-06
0,0.5334,1.021364e-05,-125.1068,-5.87E-06,-8.36E-06
0,0.532,1.394246e-05,-87.01266,7.266048e-07,-1.39E-05
0,0.5306,1.25429e-05,-140.2563,-9.64E-06,-8.02E-06
0,0.5292,1.038855e-05,-113.3993,-4.13E-06,-9.53E-06
0,0.5278,1.392121e-05,-104.3765,-3.46E-06,-1.35E-05
0,0.5264,1.419387e-05,-96.88589,-1.70E-06,-1.41E-05
0,0.525,1.217676e-05,-103.9395,-2.93E-06,-1.18E-05
0,0.5236,1.494766e-05,-123.3918,-8.23E-06,-1.25E-05
0,0.5222,1.232448e-05,-101.1194,-2.38E-06,-1.21E-05
0,0.5208,1.663687e-05,-110.4251,-5.81E-06,-1.56E-05
0,0.5194,1.444363e-05,-117.3595,-6.64E-06,-1.28E-05
0,0.518,1.487558e-05,-119.1372,-7.24E-06,-1.30E-05
0,0.5166,1.83824e-05,-115.2087,-7.83E-06,-1.66E-05
0,0.5152,1.282295e-05,-107.4669,-3.85E-06,-1.22E-05
0,0.5138,1.401328e-05,-122.418,-7.51E-06,-1.18E-05
0,0.5124,1.583762e-05,-131.2052,-1.04E-05,-1.19E-05
0,0.511,1.398025e-05,-125.1245,-8.04E-06,-1.14E-05
0,0.5096,1.64127e-05,-127.5699,-1.00E-05,-1.30E-05
0,0.5082,1.438745e-05,-125.7921,-8.41E-06,-1.17E-05
0,0.5068,1.788603e-05,-122.368,-9.58E-06,-1.51E-05
0,0.5054,1.21617e-05,-118.9011,-5.88E-06,-1.06E-05
0,0.504,1.490247e-05,-131.2963,-9.83E-06,-1.12E-05
0,0.5026,2.076049e-05,-126.4328,-1.23E-05,-1.67E-05
0,0.5012,2.076346e-05,-129.0936,-1.31E-05,-1.61E-05
0,0.4998,1.551723e-05,-120.3115,-7.83E-06,-1.34E-05
0,0.4984,2.017134e-05,-122.5704,-1.09E-05,-1.70E-05
0,0.497,2.085201e-05,-123.6047,-1.15E-05,-1.74E-05
0,0.4956,1.929562e-05,-117.1221,-8.80E-06,-1.72E-05
0,0.4942,1.672122e-05,-135.02,-1.18E-05,-1.18E-05
0,0.4928,2.045567e-05,-131.7274,-1.36E-05,-1.53E-05
0,0.4914,1.958953e-05,-135.5685,-1.40E-05,-1.37E-05
0,0.49,2.389418e-05,-136.1029,-1.72E-05,-1.66E-05
0,0.4886,2.137434e-05,-129.3855,-1.36E-05,-1.65E-05
0,0.4872,2.431632e-05,-117.1649,-1.11E-05,-2.16E-05
0,0.4858,2.540319e-05,-123.7959,-1.41E-05,-2.11E-05
0,0.4844,2.559139e-05,-119.5251,-1.26E-05,-2.23E-05
0,0.483,2.221543e-05,-132.7382,-1.51E-05,-1.63E-05
0,0.4816,2.581294e-05,-132.2559,-1.74E-05,-1.91E-05
0,0.4802,2.303726e-05,-128.8022,-1.44E-05,-1.80E-05
0,0.4788,2.584078e-05,-131.901,-1.73E-05,-1.92E-05
0,0.4774,2.495456e-05,-126.1142,-1.47E-05,-2.02E-05
0,0.476,2.44176e-05,-128.4683,-1.52E-05,-1.91E-05
0,0.4746,3.08872e-05,-128.7521,-1.93E-05,-2.41E-05
0,0.4732,2.796597e-05,-137.9819,-2.08E-05,-1.87E-05
0,0.4718,3.399203e-05,-136.1869,-2.45E-05,-2.35E-05
0,0.4704,3.027173e-05,-130.2956,-1.96E-05,-2.31E-05
0,0.469,3.203845e-05,-134.7914,-2.26E-05,-2.27E-05
0,0.4676,3.291551e-05,-136.3174,-2.38E-05,-2.27E-05
0,0.4662,3.926398e-05,-130.7742,-2.56E-05,-2.97E-05
0,0.4648,3.591896e-05,-138.8122,-2.70E-05,-2.37E-05
0,0.4634,3.922658e-05,-135.536,-2.80E-05,-2.75E-05
