"x, mkm","Potential energy, eV, VCh=0.01, VSG=-0.55","Potential energy, eV, VCh=0.05 V, VSG=-0.5","Potential energy, eV, VCh=0.1 V, VSG=-0.44","Potential energy, eV, VCh=0.15 V, VSG= -0.39"
-96,-0.18499,-0.18588,-0.18697,-0.18792
-95.9,-0.18499,-0.18588,-0.18697,-0.18791
-95.8,-0.18498,-0.18588,-0.18697,-0.18791
-95.7,-0.18498,-0.18588,-0.18697,-0.18791
-95.6,-0.18498,-0.18588,-0.18696,-0.18791
-95.5,-0.18497,-0.18587,-0.18696,-0.18791
-95.4,-0.18497,-0.18587,-0.18696,-0.1879
-95.3,-0.18496,-0.18586,-0.18695,-0.1879
-95.2,-0.18496,-0.18586,-0.18695,-0.18789
-95.1,-0.18495,-0.18585,-0.18694,-0.18789
-95,-0.18494,-0.18584,-0.18693,-0.18788
-94.9,-0.18493,-0.18583,-0.18692,-0.18787
-94.8,-0.18492,-0.18582,-0.18691,-0.18786
-94.7,-0.18491,-0.18581,-0.1869,-0.18785
-94.6,-0.18489,-0.1858,-0.18689,-0.18784
-94.5,-0.18488,-0.18579,-0.18688,-0.18783
-94.4,-0.18487,-0.18577,-0.18687,-0.18782
-94.3,-0.18485,-0.18576,-0.18686,-0.18781
-94.2,-0.18483,-0.18574,-0.18684,-0.1878
-94.1,-0.18482,-0.18573,-0.18683,-0.18778
-94,-0.1848,-0.18571,-0.18681,-0.18777
-93.9,-0.18478,-0.18569,-0.1868,-0.18776
-93.8,-0.18476,-0.18567,-0.18678,-0.18774
-93.7,-0.18474,-0.18565,-0.18676,-0.18772
-93.6,-0.18472,-0.18563,-0.18674,-0.18771
-93.5,-0.18469,-0.18561,-0.18672,-0.18769
-93.4,-0.18467,-0.18559,-0.1867,-0.18767
-93.3,-0.18465,-0.18557,-0.18668,-0.18765
-93.2,-0.18462,-0.18554,-0.18666,-0.18763
-93.1,-0.18459,-0.18552,-0.18664,-0.18761
-93,-0.18457,-0.18549,-0.18661,-0.18759
-92.9,-0.18454,-0.18546,-0.18659,-0.18757
-92.8,-0.18451,-0.18544,-0.18656,-0.18754
-92.7,-0.18448,-0.18541,-0.18654,-0.18752
-92.6,-0.18444,-0.18538,-0.18651,-0.18749
-92.5,-0.18441,-0.18535,-0.18648,-0.18747
-92.4,-0.18438,-0.18532,-0.18645,-0.18744
-92.3,-0.18434,-0.18528,-0.18642,-0.18742
-92.2,-0.18431,-0.18525,-0.18639,-0.18739
-92.1,-0.18427,-0.18522,-0.18636,-0.18736
-92,-0.18423,-0.18518,-0.18633,-0.18733
-91.9,-0.18419,-0.18514,-0.1863,-0.1873
-91.8,-0.18415,-0.18511,-0.18626,-0.18727
-91.7,-0.18411,-0.18507,-0.18623,-0.18724
-91.6,-0.18407,-0.18503,-0.18619,-0.1872
-91.5,-0.18403,-0.18499,-0.18616,-0.18717
-91.4,-0.18398,-0.18495,-0.18612,-0.18714
-91.3,-0.18394,-0.18491,-0.18608,-0.1871
-91.2,-0.18389,-0.18486,-0.18604,-0.18707
-91.1,-0.18384,-0.18482,-0.186,-0.18703
-91,-0.1838,-0.18477,-0.18596,-0.18699
-90.9,-0.18375,-0.18473,-0.18592,-0.18695
-90.8,-0.18369,-0.18468,-0.18587,-0.18691
-90.7,-0.18364,-0.18463,-0.18583,-0.18687
-90.6,-0.18359,-0.18458,-0.18579,-0.18683
-90.5,-0.18354,-0.18453,-0.18574,-0.18679
-90.4,-0.18348,-0.18448,-0.18569,-0.18675
-90.3,-0.18343,-0.18443,-0.18565,-0.18671
-90.2,-0.18337,-0.18438,-0.1856,-0.18666
-90.1,-0.18331,-0.18432,-0.18555,-0.18662
-90,-0.18325,-0.18427,-0.1855,-0.18657
-89.9,-0.18319,-0.18421,-0.18544,-0.18652
-89.8,-0.18313,-0.18415,-0.18539,-0.18647
-89.7,-0.18306,-0.18409,-0.18534,-0.18643
-89.6,-0.183,-0.18403,-0.18528,-0.18638
-89.5,-0.18293,-0.18397,-0.18523,-0.18632
-89.4,-0.18286,-0.18391,-0.18517,-0.18627
-89.3,-0.1828,-0.18384,-0.18511,-0.18622
-89.2,-0.18273,-0.18378,-0.18505,-0.18617
-89.1,-0.18266,-0.18371,-0.18499,-0.18611
-89,-0.18258,-0.18365,-0.18493,-0.18606
-88.9,-0.18251,-0.18358,-0.18487,-0.186
-88.8,-0.18244,-0.18351,-0.18481,-0.18594
-88.7,-0.18236,-0.18344,-0.18474,-0.18589
-88.6,-0.18228,-0.18337,-0.18468,-0.18583
-88.5,-0.1822,-0.18329,-0.18461,-0.18577
-88.4,-0.18212,-0.18322,-0.18455,-0.18571
-88.3,-0.18204,-0.18314,-0.18448,-0.18564
-88.2,-0.18196,-0.18307,-0.18441,-0.18558
-88.1,-0.18188,-0.18299,-0.18434,-0.18552
-88,-0.18179,-0.18291,-0.18426,-0.18545
-87.9,-0.1817,-0.18283,-0.18419,-0.18538
-87.8,-0.18162,-0.18275,-0.18412,-0.18532
-87.7,-0.18153,-0.18266,-0.18404,-0.18525
