CH_voltage,lockinIC_R,lockinIC_T
0.2,1.680258e-06,38.32553
0.1999,1.255095e-06,79.44183
0.1998,1.008896e-06,123.0008
0.1997,1.385075e-06,87.87756
0.1996,9.369514e-07,93.02454
0.1995,8.763726e-07,73.51562
0.1994,9.978823e-07,82.67458
0.1993,1.078091e-06,95.70991
0.1992,3.702957e-07,37.13142
0.1991,1.153461e-06,84.42471
0.199,1.135222e-06,55.82592
0.1989,8.461698e-07,132.3145
0.1988,1.46681e-06,71.18188
0.1987,3.256592e-07,89.76495
0.1986,8.271038e-07,149.784
0.1985,9.994078e-07,68.1747
0.1984,2.058986e-07,155.9297
0.1983,9.449589e-07,129.1875
0.1982,9.770896e-07,50.37455
0.1981,8.078422e-07,156.9962
0.198,4.554614e-07,85.85291
0.1979,1.281324e-06,105.9353
0.1978,6.449259e-07,104.4203
0.1977,8.591786e-07,94.18205
0.1976,5.327258e-07,-127.4688
0.1975,1.035343e-06,98.74421
0.1974,8.215159e-07,134.6058
0.1973,6.230715e-07,141.3632
0.1972,7.338691e-07,169.941
0.1971,9.45786e-07,92.93187
0.197,7.677264e-08,119.5934
0.1969,4.730857e-07,104.4046
0.1968,1.023558e-06,118.1833
0.1967,3.799963e-07,69.93969
0.1966,8.73791e-07,172.1185
0.1965,1.002967e-06,129.851
0.1964,7.632002e-07,93.82535
0.1963,3.508217e-07,111.6024
0.1962,7.095057e-07,114.1471
0.1961,1.161865e-06,133.6292
0.196,1.393586e-06,109.7142
0.1959,6.593931e-07,107.3812
0.1958,1.242455e-06,104.9877
0.1957,6.702505e-07,87.1503
0.1956,7.266215e-07,157.2514
0.1955,1.839883e-07,57.63005
0.1954,9.34286e-07,169.2975
0.1953,1.257207e-06,108.3105
0.1952,6.173606e-07,-84.04179
0.1951,7.011964e-07,175.0524
0.195,1.331537e-06,27.60376
0.1949,1.276228e-06,138.4495
0.1948,7.811933e-08,104.7368
0.1947,1.204887e-06,81.47959
0.1946,8.331835e-07,136.6845
0.1945,1.001117e-06,102.9202
0.1944,1.29212e-06,44.74569
0.1943,1.079119e-06,125.9486
0.1942,7.967222e-07,73.87232
0.1941,7.804613e-07,133.5829
0.194,8.043218e-07,106.0629
0.1939,7.008668e-07,121.5866
0.1938,1.284375e-06,98.59209
0.1937,1.113748e-06,84.92827
0.1936,8.622296e-07,83.61877
0.1935,9.755529e-07,111.4818
0.1934,1.491799e-06,149.3714
0.1933,8.177496e-07,130.1237
0.1932,1.635292e-06,122.5444
0.1931,8.952543e-07,123.2316
0.193,7.867924e-07,117.9998
0.1929,4.621893e-07,43.67212
0.1928,9.024012e-07,102.7716
0.1927,1.35152e-06,131.6431
0.1926,9.827446e-07,111.6339
0.1925,5.580559e-07,165.7754
0.1924,7.190778e-07,54.50418
0.1923,4.362389e-07,159.5165
0.1922,8.512493e-07,139.8062
0.1921,7.667709e-07,102.5058
0.192,8.781775e-07,30.40998
0.1919,1.218074e-06,109.2648
0.1918,1.298155e-06,152.2694
0.1917,6.601698e-07,58.33646
0.1916,8.568651e-07,155.2723
0.1915,1.077951e-06,95.3401
0.1914,8.875709e-07,81.43763
0.1913,8.513722e-07,58.08816
0.1912,6.689541e-07,126.3568
0.1911,1.205949e-06,101.3362
0.191,3.764368e-07,144.3643
0.1909,1.213012e-06,56.57079
0.1908,1.179059e-06,21.85589
0.1907,8.336808e-07,8.688261
0.1906,2.531055e-07,155.6779
0.1905,3.717709e-07,149.896
0.1904,2.119112e-07,101.9463
0.1903,8.836202e-07,146.2455
0.1902,1.339869e-06,112.9618
0.1901,2.607554e-07,86.339
0.19,4.593171e-07,-176.8565
0.1899,8.792839e-07,124.8768
0.1898,1.153662e-06,117.0837
0.1897,5.220137e-07,81.2313
0.1896,9.711887e-07,161.7934
0.1895,3.885347e-07,138.2117
0.1894,1.333236e-06,89.55426
0.1893,1.044591e-06,112.745
0.1892,8.118152e-08,-47.7222
0.1891,8.663199e-07,57.79966
0.189,9.865052e-07,100.9646
0.1889,1.074297e-06,87.02091
0.1888,8.858162e-07,148.5462
0.1887,7.742363e-07,64.52492
0.1886,1.478802e-06,117.5207
0.1885,2.476181e-07,139.6733
0.1884,4.678275e-07,-144.3153
0.1883,7.492527e-07,130.5486
0.1882,1.203479e-06,167.1234
0.1881,6.944127e-07,167.7458
0.188,1.589208e-07,29.48853
0.1879,7.860828e-07,176.4071
0.1878,1.112334e-06,157.1098
0.1877,5.946066e-07,-177.6624
0.1876,9.194388e-07,-38.68223
0.1875,5.707684e-07,93.4267
0.1874,5.690474e-07,133.3503
0.1873,4.756115e-07,113.0282
0.1872,1.26608e-06,108.8565
0.1871,9.569674e-07,123.3033
0.187,6.426014e-07,123.034
0.1869,6.679259e-07,147.167
0.1868,3.924742e-07,88.95464
0.1867,6.567891e-07,151.4022
0.1866,8.605029e-07,-151.4336
0.1865,1.301195e-06,135.8759
0.1864,6.642322e-07,120.5586
0.1863,8.574128e-07,133.3958
