mwradiation_frequency,lockinIC_R,lockinIC_T
1.29E+11,5.142521e-07,138.7606
1.29002E+11,5.351062e-07,-144.5793
1.29004E+11,7.94392e-07,-66.87731
1.29006E+11,1.070927e-07,-125.6706
1.29008E+11,7.554721e-07,-112.6156
1.2901E+11,5.777198e-07,-36.11204
1.29012E+11,7.478278e-07,-112.2361
1.29014E+11,1.566085e-06,176.6782
1.29016E+11,4.761256e-07,150.8611
1.29018E+11,6.757602e-07,102.5618
1.2902E+11,7.628314e-07,138.7029
1.29022E+11,3.708712e-07,-167.571
1.29024E+11,2.053845e-07,47.68023
1.29026E+11,7.334165e-07,93.00006
1.29028E+11,9.839572e-07,173.4124
1.2903E+11,5.850736e-07,87.5978
1.29032E+11,8.703377e-07,88.32517
1.29034E+11,6.549842e-07,-23.96709
1.29036E+11,6.546098e-07,13.15633
1.29038E+11,6.969831e-07,58.16685
1.2904E+11,8.726678e-08,-24.24511
1.29042E+11,4.036892e-07,152.9442
1.29044E+11,5.963277e-07,76.4084
1.29046E+11,5.483329e-07,142.6342
1.29048E+11,4.836916e-07,-89.41525
1.2905E+11,6.17288e-07,145.1476
1.29052E+11,1.254145e-06,19.23774
1.29054E+11,6.045978e-07,81.88175
1.29056E+11,8.10055e-07,87.59605
1.29058E+11,1.205915e-06,-172.6352
1.2906E+11,6.978884e-07,-45.97292
1.29062E+11,9.841918e-07,-11.3546
1.29064E+11,7.546227e-07,121.132
1.29066E+11,8.574239e-07,176.9614
1.29068E+11,2.8437e-07,-73.27083
1.2907E+11,1.479227e-06,53.80839
1.29072E+11,3.021061e-07,-37.16639
1.29074E+11,1.131087e-06,168.3867
1.29076E+11,8.772946e-07,27.61862
1.29078E+11,1.239549e-06,28.35648
1.2908E+11,6.658025e-07,11.42979
1.29082E+11,4.822835e-07,-8.786179
1.29084E+11,1.585688e-06,77.11468
1.29086E+11,1.327766e-06,78.10607
1.29088E+11,6.341412e-07,90.73686
1.2909E+11,4.725772e-07,108.8224
1.29092E+11,9.608455e-07,70.01663
1.29094E+11,5.324352e-07,16.77287
1.29096E+11,1.273211e-06,4.352534
1.29098E+11,6.877742e-07,109.8925
1.291E+11,1.025978e-06,97.46354
1.29102E+11,1.558251e-06,86.69044
1.29104E+11,9.396839e-07,132.5225
1.29106E+11,1.060914e-06,50.24341
1.29108E+11,8.623637e-07,8.387517
1.2911E+11,7.77455e-07,129.7705
1.29112E+11,7.739625e-07,33.73169
1.29114E+11,2.400185e-07,39.84401
1.29116E+11,6.329566e-07,73.51562
1.29118E+11,3.974922e-07,38.95673
1.2912E+11,3.416072e-07,-28.98146
1.29122E+11,5.555357e-07,118.4211
1.29124E+11,1.264901e-06,57.86436
1.29126E+11,6.116554e-07,45.8383
1.29128E+11,7.86513e-07,61.34451
1.2913E+11,3.388132e-07,32.77527
1.29132E+11,4.244428e-07,163.624
1.29134E+11,1.07171e-06,18.50687
1.29136E+11,6.700661e-07,12.4849
1.29138E+11,9.618848e-07,73.84959
1.2914E+11,3.822706e-07,112.6366
1.29142E+11,1.015383e-06,51.46289
1.29144E+11,1.801718e-07,-19.56734
1.29146E+11,7.116347e-07,100.531
1.29148E+11,8.304454e-07,20.90657
1.2915E+11,1.155249e-06,159.0269
1.29152E+11,1.001341e-06,31.132
1.29154E+11,6.64981e-07,43.70184
1.29156E+11,8.316356e-07,87.38098
1.29158E+11,8.643977e-07,89.61982
1.2916E+11,6.432998e-07,140.9278
1.29162E+11,1.057108e-06,92.65735
1.29164E+11,1.146035e-06,100.1927
1.29166E+11,5.893819e-07,56.3872
1.29168E+11,3.507323e-07,9.359678
1.2917E+11,9.643714e-07,89.12249
1.29172E+11,4.095286e-07,67.32843
1.29174E+11,7.165577e-07,108.3621
1.29176E+11,4.993658e-07,121.5166
1.29178E+11,2.354476e-07,176.6607
1.2918E+11,2.9473e-07,-133.0226
1.29182E+11,9.600911e-07,23.59466
1.29184E+11,4.120767e-07,5.342727
1.29186E+11,3.890991e-07,12.24362
1.29188E+11,1.024067e-06,16.94585
1.2919E+11,4.656147e-07,141.0292
1.29192E+11,7.21788e-07,24.00031
1.29194E+11,1.039657e-06,95.84979
1.29196E+11,2.865828e-07,84.79713
1.29198E+11,1.352509e-06,93.67148
1.292E+11,4.782937e-07,-106.8095
1.29202E+11,6.074812e-07,38.27482
1.29204E+11,4.672296e-07,94.39504
1.29206E+11,2.842359e-07,137.7921
1.29208E+11,3.126896e-07,60.02539
1.2921E+11,7.206257e-07,48.70822
1.29212E+11,2.347268e-07,-150.2876
1.29214E+11,7.621329e-07,-40.88086
1.29216E+11,4.130322e-07,-171.0529
1.29218E+11,9.387619e-07,55.20357
1.2922E+11,3.256089e-07,125.6007
1.29222E+11,6.548501e-07,-92.19237
1.29224E+11,7.302761e-07,168.9408
1.29226E+11,4.639606e-07,-75.15123
1.29228E+11,1.392407e-06,148.9309
1.2923E+11,5.416721e-07,-78.87795
1.29232E+11,3.911219e-07,20.7597
1.29234E+11,9.062513e-07,55.75086
1.29236E+11,3.017485e-07,117.2549
1.29238E+11,5.45483e-07,43.37837
1.2924E+11,4.31383e-07,57.08135
1.29242E+11,2.705622e-07,32.8522
1.29244E+11,4.422739e-07,-8.702249
1.29246E+11,5.10659e-07,129.816
1.29248E+11,4.778355e-07,109.8051
1.2925E+11,1.183077e-07,-177.4719
1.29252E+11,7.996838e-07,83.2236
1.29254E+11,3.400426e-07,-93.17142
1.29256E+11,9.686741e-07,140.3763
1.29258E+11,1.897718e-07,-0.6406993
1.2926E+11,5.06971e-07,50.29237
1.29262E+11,1.033991e-07,-7.108595
1.29264E+11,3.193616e-07,-110.7771
1.29266E+11,4.371218e-07,-72.55756
1.29268E+11,6.322469e-07,139.5125
1.2927E+11,5.063395e-07,112.6156
1.29272E+11,5.989093e-07,39.54074
1.29274E+11,9.725689e-07,135.0986
1.29276E+11,1.457015e-06,-169.1612
1.29278E+11,1.285549e-06,101.2488
1.2928E+11,6.275139e-07,151.7571
1.29282E+11,5.885548e-07,61.97221
1.29284E+11,7.122326e-07,61.7082
1.29286E+11,6.007477e-07,-167.0534
1.29288E+11,5.40398e-07,159.3801
1.2929E+11,8.794628e-07,143.8687
1.29292E+11,4.815515e-07,-25.0564
1.29294E+11,6.779283e-08,-23.88141
1.29296E+11,3.14841e-07,-114.6227
1.29298E+11,4.615858e-07,-54.05306
1.293E+11,3.1217e-07,22.96531
1.29302E+11,8.087363e-07,152.4862
1.29304E+11,1.385221e-06,84.30232
1.29306E+11,1.173879e-06,145.9658
1.29308E+11,1.071285e-06,-21.24403
1.2931E+11,1.331532e-06,-109.8436
1.29312E+11,1.417893e-06,132.102
1.29314E+11,6.399191e-07,-136.7999
1.29316E+11,4.712417e-07,-53.83374
1.29318E+11,3.086272e-07,37.69444
1.2932E+11,5.976576e-07,-56.7229
1.29322E+11,1.249769e-06,109.1564
1.29324E+11,6.621591e-07,-107.862
1.29326E+11,1.490352e-06,-150.4992
1.29328E+11,5.964506e-07,-127.7224
1.2933E+11,5.124136e-07,-121.1599
1.29332E+11,8.468236e-07,-166.7737
1.29334E+11,1.090306e-06,165.3802
1.29336E+11,7.539186e-07,177.8216
1.29338E+11,9.571183e-07,-136.2474
1.2934E+11,7.337518e-07,98.79667
1.29342E+11,2.987142e-07,99.65692
1.29344E+11,5.790777e-07,-141.288
1.29346E+11,5.054958e-07,143.5889
1.29348E+11,5.723498e-07,-156.157
1.2935E+11,1.065451e-06,-139.5387
1.29352E+11,7.96454e-07,-99.35967
1.29354E+11,4.860386e-07,-45.86278
1.29356E+11,3.235526e-07,-25.53802
1.29358E+11,5.404092e-07,143.0609
1.2936E+11,1.005733e-06,65.05724
1.29362E+11,6.154663e-07,59.153
1.29364E+11,6.982348e-07,-174.4806
1.29366E+11,1.0575e-06,-107.5823
1.29368E+11,9.987484e-07,9.989023
1.2937E+11,6.151758e-07,169.1227
1.29372E+11,7.875971e-07,-160.4466
1.29374E+11,3.786776e-07,-61.51412
1.29376E+11,4.163011e-07,107.0507
1.29378E+11,1.149801e-06,123.6538
1.2938E+11,8.090604e-07,76.85065
1.29382E+11,1.706432e-06,160.8697
1.29384E+11,9.014457e-07,168.4313
1.29386E+11,5.505848e-07,-179.5411
1.29388E+11,5.722884e-07,-119.3941
1.2939E+11,6.974693e-07,114.7084
1.29392E+11,1.102471e-06,-123.5437
1.29394E+11,4.390049e-07,-37.8342
1.29396E+11,7.293261e-07,-6.547335
1.29398E+11,4.921574e-07,163.8023
1.294E+11,4.173461e-07,62.89531
1.29402E+11,9.726248e-07,151.7676
1.29404E+11,6.104819e-07,161.1495
1.29406E+11,6.70161e-07,-172.379
1.29408E+11,5.171634e-07,-90.88099
1.2941E+11,5.81637e-07,-5.232585
1.29412E+11,7.018949e-07,-87.57332
1.29414E+11,2.729929e-07,173.3634
1.29416E+11,3.145001e-07,-22.66458
1.29418E+11,1.393904e-06,-175.1809
1.2942E+11,4.098527e-07,-127.537
1.29422E+11,5.524344e-07,-109.4239
1.29424E+11,2.786479e-07,-148.6336
1.29426E+11,3.112535e-07,85.3147
1.29428E+11,4.746615e-07,-78.27044
1.2943E+11,1.073291e-06,150.5202
1.29432E+11,5.841292e-07,-92.35498
1.29434E+11,7.142331e-07,-121.4729
1.29436E+11,6.899535e-07,-171.8607
1.29438E+11,3.420989e-07,122.5514
1.2944E+11,8.67214e-07,3.814864
1.29442E+11,8.464884e-07,87.99821
1.29444E+11,1.42708e-06,94.58388
1.29446E+11,5.859509e-07,-125.6899
1.29448E+11,2.916008e-07,-69.36618
1.2945E+11,1.326425e-06,-61.3209
1.29452E+11,1.352509e-06,-31.702
1.29454E+11,1.243483e-06,-93.48877
1.29456E+11,1.268349e-07,-107.2256
1.29458E+11,4.01616e-07,-65.9717
1.2946E+11,4.446264e-07,-161.146
1.29462E+11,3.69044e-07,-89.06654
1.29464E+11,4.886705e-07,-45.0376
1.29466E+11,1.04719e-06,-22.61213
1.29468E+11,6.278436e-07,-153.203
1.2947E+11,6.1821e-07,-156.1045
1.29472E+11,1.036059e-06,-147.0219
1.29474E+11,4.016887e-07,178.7867
1.29476E+11,1.122577e-06,-139.6069
1.29478E+11,6.556995e-07,-41.10992
1.2948E+11,4.213526e-07,-82.49623
1.29482E+11,1.045078e-06,-34.43273
1.29484E+11,6.05693e-07,-162.1536
1.29486E+11,1.074582e-06,-61.80437
1.29488E+11,8.195713e-07,-131.4734
1.2949E+11,6.646849e-07,-88.55248
1.29492E+11,1.301681e-06,-160.8418
1.29494E+11,4.562381e-07,-45.68443
1.29496E+11,3.32091e-07,136.4642
1.29498E+11,3.377292e-07,176.5628
1.29501E+11,2.228021e-07,-50.32384
1.29503E+11,8.636601e-07,-69.54453
1.29505E+11,5.501266e-07,177.6275
1.29507E+11,8.842907e-07,-91.22545
1.29509E+11,1.181876e-06,-125.9224
1.29511E+11,4.64648e-07,-116.6885
1.29513E+11,1.505836e-07,-53.02944
1.29515E+11,6.43596e-07,165.4921
1.29517E+11,1.250054e-06,-163.7438
1.29519E+11,1.298613e-06,-123.8672
1.29521E+11,2.818219e-07,-88.1888
1.29523E+11,7.09461e-07,-37.53707
1.29525E+11,4.185419e-07,17.05426
1.29527E+11,1.269098e-06,-174.7368
1.29529E+11,1.22017e-06,-140.0064
1.29531E+11,8.27847e-07,-130.6465
1.29533E+11,7.802881e-07,-154.4252
1.29535E+11,9.592976e-07,-134.5848
1.29537E+11,6.49793e-07,4.409031
1.29539E+11,4.253257e-07,75.48345
1.29541E+11,7.245987e-07,138.869
1.29543E+11,4.906039e-07,-110.0393
1.29545E+11,6.243679e-07,-127.3342
1.29547E+11,6.260499e-07,-129.3344
1.29549E+11,7.674247e-07,-1.989546
1.29551E+11,1.490771e-06,-21.59811
1.29553E+11,4.821717e-07,-108.9868
1.29555E+11,7.858537e-07,138.7029
1.29557E+11,3.534816e-07,-156.9332
1.29559E+11,6.526764e-07,-146.6564
1.29561E+11,1.967512e-07,175.9962
1.29563E+11,8.073449e-07,-111.9022
1.29565E+11,1.047257e-06,-88.01744
1.29567E+11,9.481552e-07,-130.8686
1.29569E+11,8.007846e-07,-100.2582
1.29571E+11,7.744152e-07,134.0707
1.29573E+11,6.773304e-07,-77.46788
1.29575E+11,7.812436e-07,-150.5534
1.29577E+11,5.661416e-07,-175.678
1.29579E+11,1.278955e-06,-153.3376
1.29581E+11,9.46423e-07,-146.0917
1.29583E+11,6.514862e-07,-85.18006
1.29585E+11,4.306398e-07,-158.8871
1.29587E+11,5.05289e-07,-37.18737
1.29589E+11,4.5925e-07,127.7399
1.29591E+11,4.051867e-07,170.2557
1.29593E+11,1.116016e-06,173.3084
1.29595E+11,1.333124e-06,-167.0097
1.29597E+11,5.99049e-07,-65.40345
1.29599E+11,5.861241e-07,-77.47313
1.29601E+11,1.022212e-06,-114.9689
1.29603E+11,6.489157e-07,-114.259
1.29605E+11,5.04367e-07,-138.953
1.29607E+11,9.193103e-07,-109.6652
1.29609E+11,2.88695e-07,169.7347
1.29611E+11,9.013786e-07,-99.55551
1.29613E+11,2.292171e-07,-76.41015
1.29615E+11,5.190353e-07,-137.1696
1.29617E+11,2.03859e-07,-158.7542
1.29619E+11,5.897842e-07,-97.54222
1.29621E+11,1.151338e-06,-131.2795
1.29623E+11,1.106299e-06,-133.5908
1.29625E+11,7.220171e-07,-77.7791
1.29627E+11,7.003415e-07,-147.1967
1.29629E+11,5.941875e-07,72.98595
1.29631E+11,7.904749e-07,139.2327
1.29633E+11,1.409925e-06,-121.82
1.29635E+11,7.538739e-07,-120.2368
1.29637E+11,1.125471e-06,-71.94122
1.29639E+11,9.266193e-07,-147.602
1.29641E+11,9.356942e-07,-65.91225
1.29643E+11,1.252569e-06,-86.1082
1.29645E+11,6.029158e-07,-93.39698
1.29647E+11,1.584129e-06,-115.9742
1.29649E+11,9.60404e-07,169.7941
1.29651E+11,1.048307e-06,-108.0159
1.29653E+11,3.268327e-07,-9.125377
1.29655E+11,1.017183e-06,-105.4527
1.29657E+11,7.279068e-07,-81.80132
1.29659E+11,3.352593e-07,-116.1395
1.29661E+11,7.785391e-07,-101.073
1.29663E+11,1.360315e-06,-100.2285
1.29665E+11,1.441519e-06,-110.0358
1.29667E+11,1.192929e-06,-122.1907
1.29669E+11,1.247389e-06,-132.7315
1.29671E+11,6.059166e-07,-146.4816
1.29673E+11,1.473471e-06,-144.686
1.29675E+11,1.485602e-06,-117.3904
1.29677E+11,2.160603e-06,-141.9634
1.29679E+11,1.267729e-06,-148.0304
1.29681E+11,1.296266e-06,-152.0876
1.29683E+11,1.57411e-06,-126.3244
1.29685E+11,1.375308e-06,179.7894
1.29687E+11,1.156602e-06,-133.8102
1.29689E+11,1.077007e-06,-119.2
1.29691E+11,1.148846e-06,-95.59014
1.29693E+11,1.551864e-06,-132.4001
1.29695E+11,2.384534e-06,-131.3826
1.29697E+11,2.226144e-06,-126.1575
1.29699E+11,1.872405e-06,-122.0045
1.29701E+11,1.602211e-06,-134.903
1.29703E+11,1.659438e-06,-124.3925
1.29705E+11,2.416882e-06,-109.6958
1.29707E+11,1.617455e-06,-109.2123
1.29709E+11,1.983202e-06,-115.6473
1.29711E+11,1.3807e-06,-130.9691
1.29713E+11,1.662813e-06,-126.0028
1.29715E+11,1.490894e-06,-109.5218
1.29717E+11,1.198958e-06,-143.4831
1.29719E+11,2.341652e-06,-139.4163
1.29721E+11,1.384248e-06,-130.4839
1.29723E+11,2.15654e-06,-135.9755
1.29725E+11,1.839475e-06,-128.0685
1.29727E+11,2.577217e-06,-90.39721
1.29729E+11,2.530038e-06,-130.3585
1.29731E+11,1.869281e-06,-99.93744
1.29733E+11,2.559218e-06,-121.1136
1.29735E+11,2.469604e-06,-124.7815
1.29737E+11,2.112904e-06,-121.577
1.29739E+11,2.693541e-06,-114.4072
1.29741E+11,3.064334e-06,-113.5248
1.29743E+11,3.232631e-06,-117.6806
1.29745E+11,2.563783e-06,-108.5615
1.29747E+11,2.863464e-06,-126.967
1.29749E+11,3.446487e-06,-123.7395
1.29751E+11,2.86119e-06,-95.55036
1.29753E+11,2.203591e-06,-111.8891
1.29755E+11,3.011327e-06,-118.2354
1.29757E+11,3.226401e-06,-121.8182
1.29759E+11,3.778578e-06,-109.9432
1.29761E+11,3.676531e-06,-113.7703
1.29763E+11,3.553424e-06,-104.3775
1.29765E+11,3.105791e-06,-113.9517
1.29767E+11,3.192398e-06,-102.5181
1.29769E+11,2.877339e-06,-105.4038
1.29771E+11,3.810295e-06,-108.3079
1.29773E+11,3.857787e-06,-123.6145
1.29775E+11,3.85173e-06,-130.1972
1.29777E+11,3.707326e-06,-119.9094
1.29779E+11,3.373051e-06,-126.9054
1.29781E+11,3.978956e-06,-113.0807
1.29783E+11,4.963846e-06,-115.5421
1.29785E+11,4.114391e-06,-110.5935
1.29787E+11,4.792179e-06,-100.5127
1.29789E+11,4.594769e-06,-104.3351
1.29791E+11,3.568841e-06,-108.1418
1.29793E+11,4.141783e-06,-111.9267
1.29795E+11,3.42209e-06,-109.9686
1.29797E+11,4.424817e-06,-114.0641
1.29799E+11,4.855407e-06,-117.0067
1.29801E+11,4.886213e-06,-102.0281
1.29803E+11,4.41082e-06,-109.9096
1.29805E+11,4.276961e-06,-113.4959
1.29807E+11,5.091665e-06,-118.2594
1.29809E+11,4.187269e-06,-112.2117
1.29811E+11,5.438888e-06,-103.507
1.29813E+11,4.427025e-06,-111.7975
1.29815E+11,3.959778e-06,-105.7447
1.29817E+11,3.7776e-06,-114.0606
1.29819E+11,4.573574e-06,-114.6688
1.29821E+11,3.94397e-06,-115.201
1.29823E+11,4.162307e-06,-115.5764
1.29825E+11,2.88357e-06,-111.0184
1.29827E+11,3.467375e-06,-102.6929
1.29829E+11,3.55952e-06,-110.9555
1.29831E+11,4.002599e-06,-111.0753
1.29833E+11,4.665898e-06,-117.5117
1.29835E+11,3.837212e-06,-121.5831
1.29837E+11,3.832155e-06,-115.4278
1.29839E+11,4.578189e-06,-115.4326
1.29841E+11,4.020407e-06,-105.5148
1.29843E+11,4.50682e-06,-117.9477
1.29845E+11,5.307225e-06,-115.9054
1.29847E+11,4.457535e-06,-110.2994
1.29849E+11,4.038803e-06,-105.2696
1.29851E+11,3.584286e-06,-117.4726
1.29853E+11,4.399565e-06,-109.1321
1.29855E+11,3.860654e-06,-97.94176
