deplition,CH_voltage,lockinIC_R,lockinIC_T,lockinIC_X,lockinIC_Y
-0.29428,0.2,1.493213e-06,58.19308,7.86921e-07,1.268858e-06
-0.29428,0.1999,2.075437e-06,73.4212,5.921255e-07,1.989031e-06
-0.29428,0.1998,1.544779e-06,77.77386,3.271065e-07,1.509625e-06
-0.29428,0.1997,1.527858e-06,84.34603,1.505613e-07,1.520415e-06
-0.29428,0.1996,1.794828e-06,88.23076,5.542673e-08,1.793961e-06
-0.29428,0.1995,2.601094e-06,88.28233,7.794611e-08,2.599809e-06
-0.29428,0.1994,2.54522e-06,102.4805,-5.50026e-07,2.484954e-06
-0.29428,0.1993,1.731902e-06,76.70902,3.981236e-07,1.685371e-06
-0.29428,0.1992,2.453427e-06,70.64597,8.13039e-07,2.314673e-06
-0.29428,0.1991,2.523109e-06,66.81611,9.933114e-07,2.319334e-06
-0.29428,0.199,1.863174e-06,73.09086,5.4189e-07,1.782506e-06
-0.29428,0.1989,1.563403e-06,85.22377,1.301765e-07,1.55786e-06
-0.29428,0.1988,1.718575e-06,89.76495,7.057562e-09,1.718547e-06
-0.29428,0.1987,1.776628e-06,86.05224,1.223143e-07,1.772375e-06
-0.29428,0.1986,2.204155e-06,89.12075,3.384053e-08,2.203814e-06
-0.29428,0.1985,1.358432e-06,63.259,6.111748e-07,1.213029e-06
-0.29428,0.1984,1.64126e-06,99.55201,-2.723503e-07,1.618484e-06
-0.29428,0.1983,1.486351e-06,88.23426,4.583224e-08,1.485642e-06
-0.29428,0.1982,1.608224e-06,97.77653,-2.175886e-07,1.593433e-06
-0.29428,0.1981,1.272562e-06,88.95026,2.331286e-08,1.272322e-06
-0.29428,0.198,1.322541e-06,88.84098,2.677738e-08,1.322155e-06
-0.29428,0.1979,1.447515e-06,75.25264,3.684125e-07,1.399699e-06
-0.29428,0.1978,1.600753e-06,88.0629,5.409121e-08,1.599697e-06
-0.29428,0.1977,9.019318e-07,52.63078,5.47355e-07,7.16703e-07
-0.29428,0.1976,2.048347e-06,89.32433,2.411194e-08,2.048056e-06
-0.29428,0.1975,2.154389e-06,105.7141,-5.834698e-07,2.073772e-06
-0.29428,0.1974,1.240717e-06,122.369,-6.642099e-07,1.047944e-06
-0.29428,0.1973,1.159647e-06,82.22784,1.568254e-07,1.14894e-06
-0.29428,0.1972,3.817342e-07,60.97657,1.852009e-07,3.337673e-07
-0.29428,0.1971,1.430332e-06,68.24015,5.301665e-07,1.328285e-06
-0.29428,0.197,1.651855e-06,71.67719,5.192421e-07,1.567985e-06
-0.29428,0.1969,1.922601e-06,125.9985,-1.130025e-06,1.555463e-06
-0.29428,0.1968,1.671664e-06,81.09493,2.587549e-07,1.651396e-06
-0.29428,0.1967,1.466581e-06,85.55599,1.13653e-07,1.46206e-06
-0.29428,0.1966,1.169269e-06,66.99796,4.568807e-07,1.076191e-06
-0.29428,0.1965,1.74153e-06,115.6805,-7.546842e-07,1.569449e-06
-0.29428,0.1964,1.720173e-06,99.84389,-2.940651e-07,1.694831e-06
-0.29428,0.1963,2.085227e-06,84.34865,2.053231e-07,2.074968e-06
